sample-id	Bee_ID	index	host	diet	plate	Species	Sex	Colony	Wing	Date_removed_from_fridge	Emerge_start_date	Treatment	No_pollen_spp	Pollen_comp	Dead	Death_date	Notes	Age	diet_initials
lab-p1-sample-51	51	lab.p1.sample.51	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.208	NA	8/23/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, 15 ul of feces (same colony but different inoculum batch than the callows)	non-callow	D + S + H
lab-p1-sample-52	52	lab.p1.sample.52	B. impatiens	Hawthorn	1	B. impatiens	FALSE	9	0.253	NA	8/23/21	1-C	1	Hawthorn	NA	NA	non-callow, 15 ul of feces (same colony but different inoculum batch than the callows)	non-callow	H
lab-p1-sample-54	54	lab.p1.sample.54	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	37	0.265	NA	8/23/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 15 ul of feces, same inoc batch as 57	callow	D + S + H
lab-p1-sample-55	55	lab.p1.sample.55	B. impatiens	Dandelion	1	B. impatiens	FALSE	8	0.261	NA	8/23/21	1-A	1	Dandelion	NA	NA	callow, 15 ul of feces	callow	D
lab-p1-sample-56	56	lab.p1.sample.56	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	35	0.22	NA	8/23/21	2-D	2	Dandelion + Sumac	NA	NA	callow, 15 ul of feces, different inoc batch from 58	callow	D + S
lab-p1-sample-57	57	lab.p1.sample.57	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	37	0.258	NA	8/23/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 15 ul of feces, same inoc batch at 54	callow	D + S + H
lab-p1-sample-58	58	lab.p1.sample.58	B. impatiens	Sumac	1	B. impatiens	FALSE	35	0.236	NA	8/23/21	1-B	1	Sumac	NA	NA	callow, 15 ul of feces, different inoc batch from 56	callow	S
lab-p1-sample-59	59	lab.p1.sample.59	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	37	0.262	NA	8/23/21	2-E	2	Dandelion + Hawthorn	NA	NA	callow, 15 ul of feces, different inoc batch from 54 and 57	callow	D + H
lab-p1-sample-61	61	lab.p1.sample.61	B. impatiens	Hawthorn	1	B. impatiens	FALSE	3	0.245	NA	8/24/21	1-C	1	Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	H
lab-p1-sample-62	62	lab.p1.sample.62	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.238	NA	8/24/21	2-F	2	Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	S + H
lab-p1-sample-63	63	lab.p1.sample.63	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.237	NA	8/24/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-64	64	lab.p1.sample.64	B. impatiens	Dandelion	1	B. impatiens	FALSE	9	0.217	NA	8/24/21	1-A	1	Dandelion	NA	NA	non-callow, no feces inoculum	non-callow	D
lab-p1-sample-65	65	lab.p1.sample.65	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	9	0.266	NA	8/24/21	2-D	2	Dandelion + Sumac	NA	NA	non-callow, no feces inoculum	non-callow	D + S
lab-p1-sample-66	66	lab.p1.sample.66	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.273	NA	8/24/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-68	68	lab.p1.sample.68	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	3	0.273	NA	8/24/21	2-E	2	Dandelion + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + H
lab-p1-sample-69	69	lab.p1.sample.69	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	3	0.23	NA	8/24/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-70	70	lab.p1.sample.70	B. impatiens	Hawthorn	1	B. impatiens	FALSE	37	0.246	NA	8/24/21	1-C	1	Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	H
lab-p1-sample-71	71	lab.p1.sample.71	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	37	0.217	NA	8/24/21	2-F	2	Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	S + H
lab-p1-sample-72	72	lab.p1.sample.72	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	37	0.263	NA	8/24/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-73	73	lab.p1.sample.73	B. impatiens	Dandelion	1	B. impatiens	FALSE	3	0.224	NA	8/25/21	1-A	1	Dandelion	NA	NA	non-callow, no feces inoculum	non-callow	D
lab-p1-sample-74	74	lab.p1.sample.74	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	3	0.241	NA	8/25/21	2-D	2	Dandelion + Sumac	NA	NA	non-callow, no feces inoculum	non-callow	D + S
lab-p1-sample-75	75	lab.p1.sample.75	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	3	0.248	NA	8/25/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-76	76	lab.p1.sample.76	B. impatiens	Sumac	1	B. impatiens	FALSE	8	0.279	NA	8/25/21	1-B	1	Sumac	NA	NA	non-callow, no feces inoculum	non-callow	S
lab-p1-sample-77	77	lab.p1.sample.77	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	8	0.242	NA	8/25/21	2-E	2	Dandelion + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + H
lab-p1-sample-78	78	lab.p1.sample.78	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.226	NA	8/25/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-79	79	lab.p1.sample.79	B. impatiens	Hawthorn	1	B. impatiens	FALSE	9	0.256	NA	8/25/21	1-C	1	Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	H
lab-p1-sample-80	80	lab.p1.sample.80	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.246	NA	8/25/21	2-F	2	Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	S + H
lab-p1-sample-81	81	lab.p1.sample.81	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.226	NA	8/25/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-82	82	lab.p1.sample.82	B. impatiens	Dandelion	1	B. impatiens	FALSE	37	0.256	NA	8/25/21	1-A	1	Dandelion	NA	NA	non-callow, no feces inoculum	non-callow	D
lab-p1-sample-83	83	lab.p1.sample.83	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	37	0.276	NA	8/25/21	2-D	2	Dandelion + Sumac	NA	NA	non-callow, no feces inoculum	non-callow	D + S
lab-p1-sample-84	84	lab.p1.sample.84	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	37	0.264	NA	8/25/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-85	85	lab.p1.sample.85	B. impatiens	Sumac	1	B. impatiens	FALSE	3	0.255	NA	8/26/21	1-B	1	Sumac	NA	NA	non-callow, no feces inoculum	non-callow	S
lab-p1-sample-87	87	lab.p1.sample.87	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	3	0.238	NA	8/26/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
lab-p1-sample-88	88	lab.p1.sample.88	B. impatiens	Hawthorn	1	B. impatiens	FALSE	8	0.247	NA	8/26/21	1-C	1	Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	H
lab-p1-sample-89	89	lab.p1.sample.89	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.23	NA	8/26/21	2-F	2	Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	S + H
lab-p1-sample-90	90	lab.p1.sample.90	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.232	NA	8/26/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	non-callow, no feces inoculum	non-callow	D + S + H
